City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Ribeira Grande,PT,38.5167,-28.7,60.24,87,100,6.15,overcast clouds
257,Henties Bay,NA,-22.116,14.2845,62.71,86,82,6.15,broken clouds
258,Pangkalanbuun,ID,-2.6833,111.6167,92.08,51,47,2.39,scattered clouds
259,La Rioja,ES,42.25,-2.5,44.38,77,100,2.84,overcast clouds
260,Saint-Pierre,RE,-21.3393,55.4781,76.68,80,100,8.05,overcast clouds
261,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,72.43,74,67,3.4,broken clouds
262,Nukus,UZ,42.4531,59.6103,30.18,69,0,11.5,clear sky
263,Korcula,HR,42.9622,17.1369,54.27,78,12,2.51,few clouds
264,Guanica,PR,17.9716,-66.908,77.05,79,84,4.0,broken clouds
265,Arlit,NE,18.7369,7.3853,73.22,7,7,6.15,clear sky
266,Glenwood Springs,US,39.5505,-107.3248,61.72,59,75,18.41,broken clouds
267,Zlitan,LY,32.4674,14.5687,56.97,83,13,7.07,few clouds
268,Chalon-Sur-Saone,FR,46.7833,4.85,50.22,58,100,5.17,overcast clouds
269,Spas-Demensk,RU,54.4122,34.0226,32.54,88,95,10.49,overcast clouds
270,Udachnyy,RU,66.4167,112.4,8.46,77,98,16.55,overcast clouds
271,Palotina,BR,-24.2839,-53.84,71.49,86,0,5.46,clear sky
272,Puri,IN,19.8,85.85,84.72,81,28,14.72,scattered clouds
273,Konstantinovo,BY,54.6628,29.2699,37.36,86,94,14.29,overcast clouds
274,Esmeraldas,BR,-19.7625,-44.3139,74.26,84,100,6.76,overcast clouds
275,Oistins,BB,13.0667,-59.5333,77.09,73,40,18.41,scattered clouds
276,Avanigadda,IN,16.0215,80.9181,87.93,61,35,8.52,scattered clouds
277,Isangel,VU,-19.55,169.2667,83.55,75,72,10.0,broken clouds
278,Lorengau,PG,-2.0226,147.2712,81.43,82,99,12.21,moderate rain
279,Srednekolymsk,RU,67.45,153.6833,12.38,78,10,10.56,clear sky
280,Tiznit,MA,29.5833,-9.5,59.25,78,0,2.77,clear sky
281,Lincoln,US,40.8,-96.667,48.11,45,0,17.27,clear sky
282,Victor Harbor,AU,-35.5667,138.6167,67.08,65,47,9.84,scattered clouds
283,Yuzhnyy,RU,53.2542,83.6936,34.18,86,75,11.18,light snow
284,Solnechnyy,RU,50.7214,136.6319,33.35,93,100,8.95,overcast clouds
285,Kathmandu,NP,27.7167,85.3167,64.62,77,75,0.0,mist
286,Kirakira,SB,-10.4544,161.9205,82.99,81,100,3.65,overcast clouds
287,Odienne,CI,9.51,-7.5692,81.16,50,99,3.42,overcast clouds
288,Fort-Shevchenko,KZ,44.5086,50.263,37.89,57,1,18.75,clear sky
289,Souillac,MU,-20.5167,57.5167,70.18,94,20,5.75,few clouds
290,Bosaso,SO,11.2842,49.1816,75.61,73,4,2.39,clear sky
291,Beringovskiy,RU,63.05,179.3167,4.77,88,72,9.73,broken clouds
292,Beloha,MG,-25.1667,45.05,70.56,78,73,13.98,broken clouds
293,Ouallam,NE,14.3188,2.0866,75.58,7,8,10.4,clear sky
294,Gravelbourg,CA,49.8834,-106.5512,43.07,58,100,6.89,overcast clouds
295,Tautira,PF,-17.7333,-149.15,81.48,76,59,14.07,broken clouds
296,Chapais,CA,49.7834,-74.8492,6.58,91,100,9.64,overcast clouds
297,Chama,CH,47.1821,8.4636,47.77,75,20,4.61,few clouds
298,Warrnambool,AU,-38.3833,142.4833,68.81,64,98,8.66,overcast clouds
299,Bilgoraj,PL,50.5411,22.722,47.37,77,16,5.93,few clouds
300,Castro,BR,-24.7911,-50.0119,62.44,94,65,9.01,broken clouds
301,Okhotsk,RU,59.3833,143.3,21.9,62,1,13.24,clear sky
302,Severnoye,RU,56.3491,78.3619,27.19,94,100,8.79,overcast clouds
303,Daru,PG,-9.0763,143.2092,84.81,66,100,10.18,overcast clouds
304,Sikasso,ML,10.9167,-7.0,83.73,35,7,3.85,clear sky
305,Nome,US,64.5011,-165.4064,26.67,74,0,14.97,clear sky
306,Sasaram,IN,24.951,84.0149,88.59,9,17,1.07,few clouds
307,Geraldton,AU,-28.7667,114.6,84.61,61,75,23.02,broken clouds
308,Port Macquarie,AU,-31.4333,152.9167,67.89,86,100,10.0,light rain
309,Yaan,NG,7.3833,8.5667,77.11,79,7,7.11,clear sky
310,Luganville,VU,-15.5333,167.1667,82.85,81,99,2.98,overcast clouds
311,San Andres,CO,12.5847,-81.7006,82.42,74,20,17.27,few clouds
312,Puerto Narino,CO,-3.7703,-70.3831,71.49,100,100,2.73,heavy intensity rain
313,Mascota,MX,20.5167,-104.7833,58.32,51,16,0.85,few clouds
314,Komsomolskiy,UZ,40.4272,71.7189,52.52,66,100,2.3,overcast clouds
315,Sarangani,PH,5.4033,125.4636,82.63,75,71,18.34,broken clouds
316,Aksu,CN,41.1231,80.2644,54.32,33,100,1.12,overcast clouds
317,Juneau,US,58.3019,-134.4197,42.84,81,100,12.66,overcast clouds
318,Namibe,AO,-15.1961,12.1522,69.21,75,39,8.75,scattered clouds
319,Sandpoint,US,48.2766,-116.5533,52.68,69,75,0.0,broken clouds
320,Gubskaya,RU,44.3164,40.6358,28.85,70,1,5.46,clear sky
321,Mount Isa,AU,-20.7333,139.5,91.17,15,7,12.66,clear sky
322,Georgetown,MY,5.4112,100.3354,87.73,78,20,4.61,thunderstorm
323,Ponta Delgada,PT,37.7333,-25.6667,57.92,77,40,5.75,scattered clouds
324,Pinega,RU,64.7001,43.3936,-0.76,99,48,4.05,scattered clouds
325,Mocuba,MZ,-16.8392,36.9856,70.36,99,73,3.6,light rain
326,Tessalit,ML,20.1986,1.0114,78.66,8,44,12.93,scattered clouds
327,Verkhovyna,UA,48.1557,24.7911,39.42,82,1,7.54,clear sky
328,Shache,CN,38.4167,77.2406,57.16,30,70,8.95,broken clouds
329,Shimoda,JP,34.6667,138.95,53.96,82,100,13.47,light rain
330,El Torno,BO,-17.9919,-63.3824,73.49,87,100,4.83,overcast clouds
331,Verkhoyansk,RU,67.5447,133.385,8.47,81,100,1.21,overcast clouds
332,Oakdale,US,44.963,-92.9649,35.02,38,100,12.66,overcast clouds
333,Oranjemund,NA,-28.55,16.4333,60.78,92,0,5.59,clear sky
334,Arusha,TZ,-3.3667,36.6833,65.46,95,84,2.84,broken clouds
335,Sandnessjoen,NO,66.0217,12.6316,20.64,74,87,1.99,overcast clouds
336,Hellin,ES,38.5106,-1.701,47.93,85,100,2.71,overcast clouds
337,Merauke,ID,-8.4667,140.3333,79.86,84,100,14.2,moderate rain
338,Plettenberg Bay,ZA,-34.0527,23.3716,65.46,85,100,1.72,overcast clouds
339,Grindavik,IS,63.8424,-22.4338,37.87,75,75,17.27,broken clouds
340,Kamenka,RU,51.3223,42.7678,35.89,79,73,22.24,broken clouds
341,Ketchikan,US,55.3422,-131.6461,46.87,66,100,3.44,overcast clouds
342,Grimshaw,CA,56.1834,-117.6027,33.42,93,75,6.91,broken clouds
343,Port Augusta,AU,-32.5,137.7667,81.1,40,23,12.84,few clouds
344,Kuala Terengganu,MY,5.3302,103.1408,85.95,79,6,3.44,clear sky
345,Egvekinot,RU,66.3167,-179.1667,1.74,84,62,7.9,broken clouds
